Population,Individual,Song,pc_1_value,pc_2_value,# km_cats_2_value,# km_cats_3_value,# km_cats_4_value,# km_cats_5_value
,MSG,"T0000006.sel.122.ch01_1,2",0.165804328,0.028362543,1,3,3,3
,MSG,"T0000006.sel.123.ch01_1,1",0.118811592,-0.000436629,1,3,3,1
,MSG,"T0000006.sel.126.ch01_1,1",0.118963891,0.010603738,1,3,3,1
,MSG,"T0000006.sel.124.ch01_1,1",0.197852912,0.084423746,1,3,3,3
,MSG,"T0000006.sel.125.ch01_1,1",0.210921448,-0.040465459,1,3,3,3
,MSG,"T0000006.sel.129.ch01_1,1",0.173300762,-0.032340733,1,3,3,3
,MSG,"T0000006.sel.130.ch01_1,1",0.04923962,-0.078762599,1,1,1,1
,MSG,"T0000006.sel.127.ch01_1,1",0.181824881,0.164622252,1,3,3,3
,MSG,"T0000006.sel.128.ch01_1,1",0.202768981,0.019053815,1,3,3,3
,MSG,"T0000006.sel.133.ch01_1,1",0.276972093,-0.013076957,1,3,3,3
,MSG,"T0000006.sel.133.ch01_1,2",0.234898124,0.041403966,1,3,3,3
,MSG,"T0000006.sel.133.ch01_1,3",0.220558321,0.073540559,1,3,3,3
,MSG,"T0000006.sel.131.ch01_1,1",0.157735964,-0.058796127,1,3,3,3
,MSG,"T0000006.sel.132.ch01_1,1",0.231269351,-0.008037035,1,3,3,3
,MSG,"T0000006.sel.134.ch01_1,1",0.048105423,0.138963621,1,1,4,4
,MSG,"T0000006.sel.135.ch01_1,1",0.20408949,-0.004512676,1,3,3,3
,MSG,"T0000006.sel.136.ch01_1,1",0.176466993,-0.056329041,1,3,3,3
,MSG,"T0000006.sel.140.ch01_1,1",0.09108467,0.063266644,1,1,3,1
,MSG,"T0000006.sel.137.ch01_1,1",0.185939679,-0.041929213,1,3,3,3
,MSG,"T0000006.sel.143.ch01_1,1",-0.024561813,-0.015273855,2,1,1,5
,MSG,"T0000006.sel.138.ch01_1,1",0.2776766,0.003295167,1,3,3,3
,MSG,"T0000006.sel.142.ch01_1,1",0.009898851,0.034689117,1,1,1,5
,MSG,"T0000006.sel.139.ch01_1,1",0.118039336,0.069462962,1,3,3,1
,MSG,"T0000006.sel.149.ch01_1,1",-0.075174133,-0.096405973,2,1,1,5
,MSG,"T0000006.sel.141.ch01_1,1",0.013312282,0.013446034,1,1,1,5
,MSG,"T0000006.sel.147.ch01_1,1",0.140704527,0.052753574,1,3,3,1
,MSG,"T0000006.sel.147.ch01_1,2",0.144384575,-0.018333883,1,3,3,1
,MSG,"T0000006.sel.147.ch01_1,3",0.251776569,0.021924384,1,3,3,3
,MSG,"T0000006.sel.148.ch01_1,1",0.017372831,-0.10835127,1,1,1,5
,MSG,"T0000006.sel.144.ch01_1,1",0.043942932,-0.010337018,1,1,1,1
,MSG,"T0000006.sel.145.ch01_1,1",0.197975803,0.102743168,1,3,3,3
,MSG,"T0000006.sel.157.ch01_1,1",-0.087848321,-0.094518057,2,2,1,5
,MSG,"T0000006.sel.146.ch01_1,1",0.035391337,0.111796475,1,1,4,4
,MSG,"T0000006.sel.150.ch01_1,1",-0.042655132,-0.042255658,2,1,1,5
,MSG,"T0000006.sel.156.ch01_1,1",0.169246366,0.013959406,1,3,3,3
,MSG,"T0000006.sel.154.ch01_1,1",0.053066067,-0.042521853,1,1,1,1
,MSG,"T0000006.sel.159.ch01_1,1",-0.300051071,0.139417561,2,2,2,2
,MSG,"T0000006.sel.151.ch01_1,1",0.03544615,0.046978582,1,1,1,1
,MSG,"T0000006.sel.152.ch01_1,1",0.188989871,0.041583082,1,3,3,3
,MSG,"T0000006.sel.155.ch01_1,1",0.052871597,0.057241157,1,1,1,1
,MSG,"T0000006.sel.153.ch01_1,1",0.117367072,0.04903731,1,3,3,1
,MSG,"T0000006.sel.158.ch01_1,1",0.257479456,-0.005556936,1,3,3,3
,MSG,"T0000006.sel.163.ch01_1,1",0.013175515,-0.143548989,1,1,1,5
,MSG,"T0000006.sel.160.ch01_1,1",-0.01052567,-0.098437772,1,1,1,5
,MSG,"T0000006.sel.165.ch01_1,1",-0.008847594,-0.184980425,1,1,1,5
,MSG,"T0000006.sel.164.ch01_1,1",-0.038398548,-0.009782423,2,1,1,5
,MSG,"T0000006.sel.161.ch01_1,1",0.210813714,-0.029619909,1,3,3,3
,MSG,"T0000006.sel.162.ch01_1,1",0.219844864,0.005984282,1,3,3,3
,MSG,"T0000006.sel.183.ch01_1,1",-0.264458225,0.006384084,2,2,2,2
,MSG,"T0000006.sel.166.ch01_1,1",0.173817952,-0.076533959,1,3,3,3
,MSG,"T0000006.sel.168.ch01_1,1",0.14482488,-0.074114957,1,3,3,1
,MSG,"T0000006.sel.171.ch01_1,1",0.130929921,-0.091167817,1,3,3,1
,MSG,"T0000006.sel.169.ch01_1,1",0.178559355,-0.061930844,1,3,3,3
,MSG,"T0000006.sel.167.ch01_1,1",0.153151671,-0.113155647,1,3,3,3
,MSG,"T0000006.sel.170.ch01_1,1",0.138167863,-0.072757467,1,3,3,1
,MSG,"T0000006.sel.176.ch01_1,1",0.080215458,-0.087655397,1,3,3,1
,MSG,"T0000006.sel.174.ch01_1,1",0.128688764,-0.071728859,1,3,3,1
,MSG,"T0000006.sel.172.ch01_1,1",0.17963741,-0.049871004,1,3,3,3
,MSG,"T0000006.sel.173.ch01_1,1",0.142249152,-0.062624938,1,3,3,1
,MSG,"T0000006.sel.178.ch01_1,1",0.10754206,-0.049060956,1,3,3,1
,MSG,"T0000006.sel.177.ch01_1,1",0.210967174,-0.039564532,1,3,3,3
,MSG,"T0000006.sel.175.ch01_1,1",0.151804024,-0.025091024,1,3,3,1
,MSG,"T0000006.sel.179.ch01_1,1",0.106218955,0.033259941,1,3,3,1
,MSG,"T0000006.sel.180.ch01_1,1",0.137982771,0.026432258,1,3,3,1
,MSG,"T0000006.sel.192.ch01_1,1",0.018385396,-0.166493888,1,1,1,5
,MSG,"T0000006.sel.181.ch01_1,1",0.167649154,0.068244673,1,3,3,3
,MSG,"T0000006.sel.186.ch01_1,1",0.186395306,0.011204578,1,3,3,3
,MSG,"T0000006.sel.182.ch01_1,1",0.188652045,-0.007631431,1,3,3,3
,MSG,"T0000006.sel.184.ch01_1,1",0.151409417,0.006815664,1,3,3,1
,MSG,"T0000006.sel.191.ch01_1,1",0.029924094,-0.170217003,1,1,1,5
,MSG,"T0000006.sel.188.ch01_1,1",0.151279752,-0.048172309,1,3,3,3
,MSG,"T0000006.sel.189.ch01_1,1",0.086922536,0.003499856,1,3,3,1
,MSG,"T0000006.sel.193.ch01_1,1",0.019676759,0.00363995,1,1,1,5
,MSG,"T0000006.sel.195.ch01_1,1",0.165833488,0.028462057,1,3,3,3
,MSG,"T0000006.sel.194.ch01_1,1",0.090766376,-0.028646589,1,3,3,1
,MSG,"T0000006.sel.201.ch01_1,1",-0.0576598,-0.050686518,2,1,1,5
,MSG,"T0000006.sel.200.ch01_1,1",-0.048288666,-0.106386341,2,1,1,5
,MSG,"T0000006.sel.207.ch01_1,1",-0.048908045,-0.067135568,2,1,1,5
,MSG,"T0000006.sel.197.ch01_1,1",0.104363614,-0.016691743,1,3,3,1
,MSG,"T0000006.sel.203.ch01_1,1",-0.069562096,-0.0588055,2,1,1,5
,MSG,"T0000006.sel.196.ch01_1,1",0.177177173,0.070458043,1,3,3,3
,MSG,"T0000006.sel.198.ch01_1,1",0.131739556,0.001190048,1,3,3,1
,MSG,"T0000006.sel.199.ch01_1,1",0.193702221,-0.024458191,1,3,3,3
,MSG,"T0000006.sel.204.ch01_1,1",0.103674973,-0.086887325,1,3,3,1
,MSG,"T0000006.sel.206.ch01_1,1",0.076677084,-0.063235316,1,3,3,1
,MSG,"T0000006.sel.205.ch01_1,1",0.053564862,-0.012023031,1,1,1,1
,MSG,"T0000006.sel.202.ch01_1,1",0.210169495,0.114921185,1,3,3,3
,MSG,"T0000006.sel.208.ch01_1,1",0.082761486,-0.056679678,1,3,3,1
,MSG,"T0000006.sel.216.ch01_1,1",-0.054209051,-0.071821513,2,1,1,5
,MSG,"T0000006.sel.209.ch01_1,1",0.13128294,-0.059080393,1,3,3,1
,MSG,"T0000006.sel.212.ch01_1,1",0.192895275,-0.06386165,1,3,3,3
,MSG,"T0000006.sel.210.ch01_1,1",0.160149539,-0.055128846,1,3,3,3
,MSG,"T0000006.sel.218.ch01_1,1",-0.057441357,-0.071806147,2,1,1,5
,MSG,"T0000006.sel.213.ch01_1,1",0.129220026,-0.061216181,1,3,3,1
,MSG,"T0000006.sel.211.ch01_1,1",0.170062415,-0.054811196,1,3,3,3
,MSG,"T0000006.sel.214.ch01_1,1",0.142737993,-0.070867676,1,3,3,1
,MSG,"T0000006.sel.239.ch01_1,1",-0.2348936,-0.134759512,2,2,2,2
,MSG,"T0000006.sel.215.ch01_1,1",0.304743763,-0.032502092,1,3,3,3
,MSG,"T0000006.sel.217.ch01_1,1",0.098761854,-0.061908734,1,3,3,1
,MSG,"T0000006.sel.221.ch01_1,1",0.125020889,-0.05926628,1,3,3,1
,MSG,"T0000006.sel.223.ch01_1,1",0.089475053,-0.04549256,1,3,3,1
,MSG,"T0000006.sel.220.ch01_1,1",0.158580833,-0.054662738,1,3,3,3
,MSG,"T0000006.sel.219.ch01_1,1",0.172232908,-0.071134173,1,3,3,3
,MSG,"T0000006.sel.219.ch01_1,2",0.108640071,0.027856244,1,3,3,1
,MSG,"T0000006.sel.226.ch01_1,1",0.108168559,-0.070019699,1,3,3,1
,MSG,"T0000006.sel.222.ch01_1,1",0.165610661,-0.061459761,1,3,3,3
,MSG,"T0000006.sel.235.ch01_1,1",-0.081398591,-0.041459026,2,1,1,5
,MSG,"T0000006.sel.224.ch01_1,1",0.136781198,-0.070610712,1,3,3,1
,MSG,"T0000006.sel.225.ch01_1,1",0.102424767,-0.024796874,1,3,3,1
,MSG,"T0000006.sel.241.ch01_1,1",-0.215782299,-0.088583894,2,2,2,2
,MSG,"T0000006.sel.232.ch01_1,1",-0.023703349,-0.028714216,2,1,1,5
,MSG,"T0000006.sel.231.ch01_1,1",0.001558764,-0.024822335,1,1,1,5
,MSG,"T0000006.sel.227.ch01_1,1",0.129925831,-0.04716177,1,3,3,1
