Group,category,type,Group_full,,,
Mixed Species Group (Exclusive),1221,Upsweep,msg,,,
Mixed Species Group (Exclusive),1223,Upsweep,msg,,,
Mixed Species Group (Exclusive),1233,Upsweep,msg,,,
Mixed Species Group (Exclusive),1268,Upsweep,msg,,,
Mixed Species Group (Exclusive),1272,Upsweep,msg,,,
Mixed Species Group (Exclusive),1278,Upsweep,msg,,,
Mixed Species Group (Exclusive),1284,Upsweep,msg,,,
Mixed Species Group (Exclusive),1287,Upsweep,msg,,,
Mixed Species Group (Exclusive),1289,Upsweep,msg,,,
Mixed Species Group (Exclusive),1360,Upsweep,msg,,,
Mixed Species Group (Exclusive),1377,Upsweep,msg,,,
Mixed Species Group (Exclusive),1449,Upsweep,msg,,,
Mixed Species Group (Exclusive),1459,Upsweep,msg,,,
Mixed Species Group (Exclusive),1554,Upsweep,msg,,,
Mixed Species Group (Exclusive),1575,Upsweep,msg,,,
Mixed Species Group (Exclusive),1609,Upsweep,msg,,,
Mixed Species Group (Exclusive),1710,Upsweep,msg,,,
Mixed Species Group (Exclusive),1833,Upsweep,msg,,,
Mixed Species Group (Exclusive),1887,Upsweep,msg,,,
Mixed Species Group (Exclusive),1891,Upsweep,msg,,,
Mixed Species Group (Exclusive),1902,Upsweep,msg,,,
Mixed Species Group (Exclusive),1923,Upsweep,msg,,,
Guiana Dolphin Single Species Group (Exclusive),12,Concave,sg,,,13
Guiana Dolphin Single Species Group (Exclusive),21,Upsweep,sg,,,0.048507463
Guiana Dolphin Single Species Group (Exclusive),26,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),30,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),34,Constant,sg,,,
Guiana Dolphin Single Species Group (Exclusive),42,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),53,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),54,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),56,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),61,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),64,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),68,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),86,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),109,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),116,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),132,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),136,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),140,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),142,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),145,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),159,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),175,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),179,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),187,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),199,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),209,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),218,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),221,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),225,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),227,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),238,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),240,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),249,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),266,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),270,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),277,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),280,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),286,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),291,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),292,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),298,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),301,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),322,Constant,sg,,,
Guiana Dolphin Single Species Group (Exclusive),327,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),339,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),340,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),341,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),347,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),368,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),378,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),387,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),400,Convex,sg,,,
Guiana Dolphin Single Species Group (Exclusive),405,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),414,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),430,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),440,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),443,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),447,Upsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),450,Downsweep,sg,,,
Guiana Dolphin Single Species Group (Exclusive),451,Sine,sg,,,
Guiana Dolphin Single Species Group (Exclusive),460,Convex,sg,,,
